Scale,Rows,Parquet MiB,Scan (s),Grouping (s),Weather join (s)
100k,100000,2.3141870498657227,0.14005336499940313,0.22623654800008808,0.2744757939999545
500k,500000,11.436327934265137,0.13965915399967344,0.29330984100124624,0.40573557800053095
1m,1000000,23.23503303527832,0.1460805850001634,0.22437636900031066,0.6152939589992457
Full,2963713,72.5795202255249,0.19880974199986667,0.4921084450015769,1.3500123030007671
